Date de vaccination;18-29 ans;;;30-49 ans;;;50-69 ans;;;70-79 ans;;;80 ans et plus;;
;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés
2021-10-22;85,3543%;78,7075%;80,2325%;85,4934%;80,8858%;81,9855%;95,2036%;93,0062%;93,5938%;98,4551%;97,2410%;97,5724%;97,5419%;95,1034%;96,4319%
2021-10-23;85,4287%;78,8349%;80,3638%;85,5525%;80,9820%;82,0817%;95,2285%;93,0466%;93,6344%;98,4623%;97,2554%;97,5875%;97,5460%;95,1190%;96,4468%
2021-10-24;85,4627%;78,8941%;80,4245%;85,5770%;81,0226%;82,1226%;95,2377%;93,0614%;93,6490%;98,4648%;97,2617%;97,5938%;97,5488%;95,1240%;96,4514%
2021-10-25;85,5066%;78,9558%;80,4888%;85,6071%;81,0652%;82,1664%;95,2473%;93,0812%;93,6672%;98,4695%;97,2803%;97,6055%;97,5568%;95,2045%;96,4705%
2021-10-26;85,5644%;79,0421%;80,5775%;85,6473%;81,1253%;82,2278%;95,2628%;93,1085%;93,6928%;98,4770%;97,3063%;97,6202%;97,5667%;95,3090%;96,4909%
2021-10-27;85,6382%;79,1548%;80,6983%;85,6964%;81,2062%;82,3093%;95,2815%;93,1405%;93,7254%;98,4860%;97,3336%;97,6417%;97,5807%;95,3878%;96,5169%
2021-10-28;85,7168%;79,2817%;80,8268%;85,7503%;81,2987%;82,4035%;95,3011%;93,1790%;93,7622%;98,4925%;97,3611%;97,6614%;97,5899%;95,4754%;96,5429%
2021-10-29;85,7856%;79,4066%;80,9539%;85,8043%;81,3916%;82,4978%;95,3199%;93,2214%;93,8034%;98,4981%;97,3869%;97,6800%;97,6010%;95,5351%;96,5603%
2021-10-30;85,8443%;79,5124%;81,0634%;85,8524%;81,4757%;82,5828%;95,3383%;93,2574%;93,8391%;98,5052%;97,3976%;97,6921%;97,6062%;95,5505%;96,5725%
2021-10-31;85,8686%;79,5608%;81,1127%;85,8703%;81,5060%;82,6136%;95,3453%;93,2695%;93,8517%;98,5081%;97,4004%;97,6949%;97,6069%;95,5581%;96,5780%
2021-11-01;85,9031%;79,6125%;81,1646%;85,8929%;81,5425%;82,6507%;95,3543%;93,2851%;93,8661%;98,5119%;97,4164%;97,7022%;97,6173%;95,6474%;96,5992%
2021-11-02;85,9481%;79,6748%;81,2318%;85,9262%;81,5866%;82,6957%;95,3653%;93,3020%;93,8824%;98,5172%;97,4331%;97,7124%;97,6299%;95,7118%;96,6185%
2021-11-03;86,0122%;79,7680%;81,3264%;85,9690%;81,6495%;82,7595%;95,3797%;93,3274%;93,9069%;98,5231%;97,4526%;97,7251%;97,6414%;95,7842%;96,6394%
2021-11-04;86,0911%;79,8880%;81,4485%;86,0207%;81,7339%;82,8442%;95,3969%;93,3634%;93,9419%;98,5305%;97,4757%;97,7415%;97,6497%;95,8473%;96,6594%
2021-11-05;86,1603%;79,9962%;81,5609%;86,0694%;81,8155%;82,9248%;95,4127%;93,3943%;93,9722%;98,5350%;97,4893%;97,7536%;97,6582%;95,8979%;96,6794%
2021-11-06;86,2276%;80,0877%;81,6552%;86,1132%;81,8849%;82,9946%;95,4271%;93,4228%;93,9997%;98,5399%;97,4976%;97,7624%;97,6609%;95,9126%;96,6867%
2021-11-07;86,2690%;80,1382%;81,7072%;86,1377%;81,9215%;83,0328%;95,4351%;93,4351%;94,0117%;98,5424%;97,5024%;97,7674%;97,6625%;95,9165%;96,6899%
2021-11-08;86,3078%;80,1866%;81,7576%;86,1590%;81,9532%;83,0648%;95,4433%;93,4472%;94,0233%;98,5455%;97,5132%;97,7741%;97,6697%;95,9599%;96,6998%
2021-11-09;86,3508%;80,2483%;81,8214%;86,1846%;81,9963%;83,1080%;95,4514%;93,4669%;94,0422%;98,5499%;97,5288%;97,7834%;97,6795%;96,0332%;96,7186%
2021-11-10;86,4173%;80,3508%;81,9264%;86,2243%;82,0676%;83,1799%;95,4658%;93,4944%;94,0703%;98,5552%;97,5468%;97,7988%;97,6867%;96,0891%;96,7384%
2021-11-11;86,4893%;80,4593%;82,0372%;86,2665%;82,1445%;83,2562%;95,4810%;93,5266%;94,1004%;98,5622%;97,5684%;97,8146%;97,6959%;96,1378%;96,7554%
2021-11-12;86,5455%;80,5606%;82,1403%;86,3101%;82,2151%;83,3274%;95,4937%;93,5542%;94,1273%;98,5672%;97,5819%;97,8235%;97,7023%;96,1987%;96,7694%
2021-11-13;86,5997%;80,6646%;82,2451%;86,3468%;82,2878%;83,4007%;95,5081%;93,5849%;94,1582%;98,5705%;97,5908%;97,8332%;97,7057%;96,2053%;96,7745%
2021-11-14;86,6344%;80,7147%;82,2982%;86,3692%;82,3237%;83,4371%;95,5149%;93,6003%;94,1736%;98,5720%;97,5946%;97,8377%;97,7080%;96,2088%;96,7779%
2021-11-15;86,6722%;80,7668%;82,3522%;86,3928%;82,3597%;83,4737%;95,5226%;93,6160%;94,1886%;98,5757%;97,6066%;97,8443%;97,7124%;96,2462%;96,7883%
2021-11-16;86,7146%;80,8300%;82,4178%;86,4185%;82,3972%;83,5115%;95,5311%;93,6307%;94,2025%;98,5794%;97,6139%;97,8498%;97,7184%;96,2747%;96,7970%
2021-11-17;86,7734%;80,9163%;82,5066%;86,4574%;82,4525%;83,5667%;95,5441%;93,6532%;94,2247%;98,5853%;97,6273%;97,8601%;97,7257%;96,3168%;96,8083%
2021-11-18;86,8347%;81,0083%;82,6018%;86,4997%;82,5249%;83,6397%;95,5598%;93,6821%;94,2532%;98,5910%;97,6408%;97,8716%;97,7322%;96,3485%;96,8207%
2021-11-19;86,8876%;81,1003%;82,6966%;86,5380%;82,5911%;83,7061%;95,5727%;93,7060%;94,2766%;98,5955%;97,6536%;97,8816%;97,7391%;96,3655%;96,8280%
2021-11-20;86,9443%;81,1845%;82,7827%;86,5770%;82,6591%;83,7752%;95,5857%;93,7324%;94,3027%;98,6003%;97,6611%;97,8889%;97,7416%;96,3733%;96,8331%
2021-11-21;86,9767%;81,2303%;82,8302%;86,5960%;82,6898%;83,8059%;95,5923%;93,7459%;94,3166%;98,6021%;97,6651%;97,8917%;97,7432%;96,3779%;96,8370%
2021-11-22;87,0116%;81,2805%;82,8822%;86,6193%;82,7236%;83,8404%;95,6006%;93,7588%;94,3292%;98,6049%;97,6723%;97,8968%;97,7462%;96,3882%;96,8423%
2021-11-23;87,0581%;81,3371%;82,9404%;86,6476%;82,7601%;83,8777%;95,6102%;93,7721%;94,3424%;98,6097%;97,6797%;97,9027%;97,7501%;96,3937%;96,8455%
2021-11-24;87,1054%;81,4114%;83,0176%;86,6782%;82,8087%;83,9264%;95,6234%;93,7932%;94,3631%;98,6151%;97,6912%;97,9118%;97,7524%;96,4156%;96,8558%
2021-11-25;87,1668%;81,5061%;83,1141%;86,7197%;82,8769%;83,9950%;95,6372%;93,8187%;94,3883%;98,6192%;97,7017%;97,9197%;97,7563%;96,4323%;96,8643%
2021-11-26;87,2165%;81,5864%;83,1939%;86,7561%;82,9341%;84,0514%;95,6504%;93,8390%;94,4078%;98,6250%;97,7112%;97,9268%;97,7613%;96,4512%;96,8705%
2021-11-27;87,2514%;81,6422%;83,2501%;86,7781%;82,9743%;84,0912%;95,6587%;93,8540%;94,4225%;98,6269%;97,7171%;97,9319%;97,7632%;96,4562%;96,8753%
2021-11-28;87,2743%;81,6724%;83,2822%;86,7916%;82,9972%;84,1144%;95,6643%;93,8629%;94,4311%;98,6286%;97,7204%;97,9353%;97,7646%;96,4574%;96,8765%
2021-11-29;87,3088%;81,7138%;83,3246%;86,8139%;83,0269%;84,1442%;95,6736%;93,8745%;94,4424%;98,6315%;97,7284%;97,9393%;97,7680%;96,4785%;96,8820%
2021-11-30;87,3477%;81,7604%;83,3716%;86,8383%;83,0589%;84,1753%;95,6827%;93,8860%;94,4535%;98,6356%;97,7364%;97,9444%;97,7742%;96,4928%;96,8912%
2021-12-01;87,3976%;81,8173%;83,4287%;86,8735%;83,0965%;84,2135%;95,6939%;93,8981%;94,4657%;98,6407%;97,7466%;97,9509%;97,7777%;96,5029%;96,8956%
2021-12-02;87,4485%;81,8830%;83,4959%;86,9082%;83,1390%;84,2558%;95,7057%;93,9118%;94,4796%;98,6444%;97,7522%;97,9548%;97,7811%;96,5095%;96,8997%
2021-12-03;87,4870%;81,9398%;83,5526%;86,9358%;83,1798%;84,2973%;95,7155%;93,9265%;94,4934%;98,6486%;97,7589%;97,9579%;97,7852%;96,5169%;96,9052%
2021-12-04;87,5182%;81,9885%;83,6009%;86,9583%;83,2142%;84,3299%;95,7232%;93,9374%;94,5040%;98,6500%;97,7637%;97,9615%;97,7885%;96,5210%;96,9077%
2021-12-05;87,5438%;82,0199%;83,6337%;86,9754%;83,2326%;84,3497%;95,7283%;93,9439%;94,5102%;98,6511%;97,7666%;97,9634%;97,7894%;96,5226%;96,9089%
2021-12-06;87,5719%;82,0609%;83,6741%;86,9958%;83,2566%;84,3736%;95,7351%;93,9529%;94,5187%;98,6547%;97,7703%;97,9657%;97,7914%;96,5259%;96,9107%
2021-12-07;87,6036%;82,1006%;83,7140%;87,0181%;83,2824%;84,3994%;95,7423%;93,9633%;94,5282%;98,6572%;97,7750%;97,9696%;97,7933%;96,5330%;96,9165%
2021-12-08;87,6506%;82,1592%;83,7738%;87,0475%;83,3194%;84,4357%;95,7533%;93,9759%;94,5406%;98,6622%;97,7817%;97,9764%;97,7983%;96,5436%;96,9227%
2021-12-09;87,7004%;82,2262%;83,8425%;87,0809%;83,3583%;84,4753%;95,7645%;93,9890%;94,5530%;98,6668%;97,7894%;97,9822%;97,8018%;96,5498%;96,9266%
2021-12-10;87,7329%;82,2835%;83,8999%;87,1081%;83,3972%;84,5149%;95,7737%;94,0040%;94,5673%;98,6703%;97,7960%;97,9868%;97,8066%;96,5560%;96,9307%
2021-12-11;87,7656%;82,3315%;83,9479%;87,1313%;83,4248%;84,5424%;95,7823%;94,0147%;94,5784%;98,6729%;97,8001%;97,9897%;97,8078%;96,5592%;96,9321%
2021-12-12;87,7899%;82,3612%;83,9779%;87,1475%;83,4441%;84,5613%;95,7879%;94,0206%;94,5841%;98,6753%;97,8015%;97,9915%;97,8098%;96,5619%;96,9337%
2021-12-13;87,8162%;82,4034%;84,0201%;87,1642%;83,4667%;84,5836%;95,7939%;94,0296%;94,5923%;98,6785%;97,8062%;97,9949%;97,8124%;96,5688%;96,9381%
2021-12-14;87,8457%;82,4479%;84,0640%;87,1846%;83,4917%;84,6080%;95,8031%;94,0388%;94,6013%;98,6814%;97,8118%;97,9993%;97,8165%;96,5762%;96,9436%
2021-12-15;87,8805%;82,5031%;84,1183%;87,2095%;83,5257%;84,6399%;95,8126%;94,0523%;94,6140%;98,6852%;97,8193%;98,0044%;97,8206%;96,5897%;96,9507%
2021-12-16;87,9239%;82,5614%;84,1760%;87,2400%;83,5649%;84,6771%;95,8236%;94,0693%;94,6286%;98,6906%;97,8317%;98,0133%;97,8257%;96,6031%;96,9594%
2021-12-17;87,9542%;82,6017%;84,2157%;87,2630%;83,5966%;84,7064%;95,8330%;94,0833%;94,6400%;98,6954%;97,8418%;98,0191%;97,8326%;96,6164%;96,9677%
2021-12-18;87,9816%;82,6385%;84,2514%;87,2848%;83,6229%;84,7301%;95,8413%;94,0939%;94,6489%;98,6995%;97,8474%;98,0224%;97,8356%;96,6214%;96,9702%
2021-12-19;88,0025%;82,6680%;84,2790%;87,3000%;83,6443%;84,7490%;95,8479%;94,1016%;94,6547%;98,7031%;97,8505%;98,0250%;97,8381%;96,6242%;96,9723%
2021-12-20;88,0316%;82,7092%;84,3170%;87,3207%;83,6738%;84,7738%;95,8563%;94,1164%;94,6657%;98,7073%;97,8577%;98,0291%;97,8436%;96,6403%;96,9803%
2021-12-21;88,0611%;82,7572%;84,3602%;87,3437%;83,7051%;84,8010%;95,8655%;94,1304%;94,6750%;98,7133%;97,8663%;98,0347%;97,8507%;96,6575%;96,9882%
2021-12-22;88,0911%;82,8002%;84,3991%;87,3666%;83,7429%;84,8306%;95,8762%;94,1494%;94,6885%;98,7211%;97,8759%;98,0413%;97,8622%;96,6839%;97,0033%
2021-12-23;88,1205%;82,8363%;84,4323%;87,3913%;83,7718%;84,8565%;95,8890%;94,1644%;94,7001%;98,7283%;97,8834%;98,0465%;97,8682%;96,6980%;97,0130%
2021-12-24;88,1314%;82,8489%;84,4445%;87,4001%;83,7805%;84,8652%;95,8937%;94,1691%;94,7039%;98,7307%;97,8871%;98,0493%;97,8693%;96,7005%;97,0148%
2021-12-25;88,1315%;82,8492%;84,4448%;87,4002%;83,7806%;84,8654%;95,8939%;94,1691%;94,7039%;98,7307%;97,8871%;98,0493%;97,8693%;96,7005%;97,0148%
2021-12-26;88,1376%;82,8612%;84,4554%;87,4066%;83,7888%;84,8732%;95,8969%;94,1726%;94,7068%;98,7320%;97,8885%;98,0506%;97,8703%;96,7019%;97,0162%
2021-12-27;88,1574%;82,8870%;84,4789%;87,4229%;83,8088%;84,8915%;95,9053%;94,1824%;94,7143%;98,7368%;97,8933%;98,0538%;97,8748%;96,7055%;97,0185%
2021-12-28;88,1785%;82,9214%;84,5108%;87,4403%;83,8346%;84,9140%;95,9143%;94,1955%;94,7240%;98,7424%;97,8988%;98,0577%;97,8794%;96,7147%;97,0231%
2021-12-29;88,2045%;82,9616%;84,5499%;87,4607%;83,8686%;84,9446%;95,9259%;94,2146%;94,7373%;98,7489%;97,9076%;98,0642%;97,8875%;96,7251%;97,0316%
2021-12-30;88,2316%;83,0042%;84,5885%;87,4850%;83,9053%;84,9759%;95,9386%;94,2310%;94,7492%;98,7563%;97,9147%;98,0702%;97,8912%;96,7340%;97,0383%
2021-12-31;88,2412%;83,0167%;84,5996%;87,4945%;83,9151%;84,9846%;95,9437%;94,2363%;94,7526%;98,7573%;97,9169%;98,0717%;97,8925%;96,7350%;97,0389%
2022-01-01;88,2412%;83,0168%;84,5997%;87,4947%;83,9153%;84,9848%;95,9438%;94,2363%;94,7527%;98,7574%;97,9169%;98,0717%;97,8925%;96,7350%;97,0389%
2022-01-02;88,2477%;83,0283%;84,6100%;87,5003%;83,9241%;84,9929%;95,9459%;94,2404%;94,7558%;98,7590%;97,9179%;98,0730%;97,8932%;96,7361%;97,0401%
2022-01-03;88,2718%;83,0578%;84,6378%;87,5221%;83,9530%;85,0178%;95,9564%;94,2559%;94,7671%;98,7634%;97,9252%;98,0776%;97,8974%;96,7414%;97,0433%
2022-01-04;88,3028%;83,0905%;84,6654%;87,5457%;83,9815%;85,0417%;95,9713%;94,2723%;94,7779%;98,7688%;97,9332%;98,0826%;97,9038%;96,7485%;97,0479%
2022-01-05;88,3360%;83,1317%;84,7008%;87,5759%;84,0189%;85,0742%;95,9869%;94,2938%;94,7926%;98,7776%;97,9445%;98,0902%;97,9091%;96,7559%;97,0525%
2022-01-06;88,3702%;83,1890%;84,7537%;87,6053%;84,0655%;85,1154%;96,0040%;94,3222%;94,8131%;98,7866%;97,9542%;98,0976%;97,9160%;96,7644%;97,0592%
2022-01-07;88,4067%;83,2300%;84,7909%;87,6419%;84,1035%;85,1491%;96,0235%;94,3451%;94,8280%;98,7954%;97,9620%;98,1027%;97,9226%;96,7724%;97,0638%
2022-01-08;88,4373%;83,2639%;84,8220%;87,6719%;84,1343%;85,1776%;96,0419%;94,3634%;94,8413%;98,8019%;97,9685%;98,1083%;97,9272%;96,7770%;97,0665%
2022-01-09;88,4599%;83,2840%;84,8410%;87,6906%;84,1534%;85,1938%;96,0525%;94,3742%;94,8481%;98,8066%;97,9733%;98,1116%;97,9307%;96,7795%;97,0686%
2022-01-10;88,4936%;83,3138%;84,8679%;87,7190%;84,1779%;85,2148%;96,0718%;94,3899%;94,8565%;98,8151%;97,9792%;98,1151%;97,9373%;96,7890%;97,0748%
2022-01-11;88,5357%;83,3469%;84,8964%;87,7527%;84,2062%;85,2383%;96,0917%;94,4086%;94,8678%;98,8262%;97,9856%;98,1186%;97,9491%;96,7998%;97,0819%
2022-01-12;88,5936%;83,3840%;84,9316%;87,8022%;84,2420%;85,2688%;96,1232%;94,4311%;94,8820%;98,8453%;97,9942%;98,1247%;97,9610%;96,8101%;97,0909%
2022-01-13;88,6430%;83,4266%;84,9708%;87,8485%;84,2835%;85,3044%;96,1546%;94,4540%;94,8985%;98,8668%;98,0047%;98,1317%;97,9736%;96,8211%;97,0973%
2022-01-14;88,7063%;83,4778%;85,0185%;87,9048%;84,3304%;85,3453%;96,1903%;94,4788%;94,9165%;98,8849%;98,0142%;98,1395%;97,9879%;96,8319%;97,1058%
2022-01-15;88,7642%;83,5215%;85,0592%;87,9587%;84,3672%;85,3778%;96,2165%;94,4973%;94,9301%;98,8964%;98,0213%;98,1462%;97,9959%;96,8333%;97,1072%
2022-01-16;88,8053%;83,5496%;85,0851%;87,9878%;84,3893%;85,3967%;96,2334%;94,5092%;94,9383%;98,9052%;98,0258%;98,1493%;98,0015%;96,8358%;97,1088%
2022-01-17;88,8428%;83,5794%;85,1100%;88,0198%;84,4142%;85,4166%;96,2504%;94,5227%;94,9467%;98,9133%;98,0298%;98,1517%;98,0090%;96,8395%;97,1109%
2022-01-18;88,8904%;83,6209%;85,1479%;88,0609%;84,4486%;85,4457%;96,2750%;94,5432%;94,9604%;98,9286%;98,0371%;98,1572%;98,0226%;96,8462%;97,1150%
2022-01-19;88,9366%;83,6619%;85,1841%;88,1017%;84,4816%;85,4744%;96,3011%;94,5602%;94,9733%;98,9422%;98,0463%;98,1637%;98,0332%;96,8558%;97,1214%
2022-01-20;88,9805%;83,7166%;85,2329%;88,1406%;84,5299%;85,5162%;96,3252%;94,5853%;94,9916%;98,9561%;98,0563%;98,1725%;98,0437%;96,8668%;97,1283%
2022-01-21;89,0229%;83,7591%;85,2701%;88,1754%;84,5709%;85,5514%;96,3456%;94,6065%;95,0067%;98,9660%;98,0643%;98,1797%;98,0529%;96,8742%;97,1336%
2022-01-22;89,0530%;83,7912%;85,2984%;88,2015%;84,6013%;85,5772%;96,3581%;94,6196%;95,0167%;98,9719%;98,0689%;98,1834%;98,0594%;96,8767%;97,1368%
2022-01-23;89,0743%;83,8162%;85,3200%;88,2168%;84,6213%;85,5935%;96,3672%;94,6289%;95,0230%;98,9761%;98,0729%;98,1875%;98,0646%;96,8783%;97,1380%
2022-01-24;89,1060%;83,8560%;85,3534%;88,2451%;84,6559%;85,6212%;96,3861%;94,6472%;95,0368%;98,9851%;98,0783%;98,1931%;98,0747%;96,8845%;97,1428%
2022-01-25;89,1392%;83,8996%;85,3914%;88,2745%;84,6878%;85,6491%;96,4030%;94,6631%;95,0495%;98,9959%;98,0834%;98,1979%;98,0862%;96,8940%;97,1502%
2022-01-26;89,1795%;83,9557%;85,4389%;88,3053%;84,7327%;85,6870%;96,4195%;94,6852%;95,0663%;99,0052%;98,0922%;98,2043%;98,0966%;96,9027%;97,1568%
2022-01-27;89,2203%;84,0113%;85,4908%;88,3372%;84,7763%;85,7255%;96,4360%;94,7049%;95,0812%;99,0154%;98,0994%;98,2099%;98,1030%;96,9107%;97,1626%
2022-01-28;89,2518%;84,0590%;85,5331%;88,3665%;84,8138%;85,7573%;96,4498%;94,7215%;95,0945%;99,0224%;98,1053%;98,2149%;98,1111%;96,9188%;97,1695%
2022-01-29;89,2790%;84,0974%;85,5674%;88,3867%;84,8464%;85,7834%;96,4606%;94,7342%;95,1045%;99,0278%;98,1079%;98,2178%;98,1150%;96,9234%;97,1734%
2022-01-30;89,2950%;84,1242%;85,5919%;88,4009%;84,8647%;85,7998%;96,4665%;94,7411%;95,1100%;99,0301%;98,1098%;98,2193%;98,1161%;96,9266%;97,1763%
2022-01-31;89,3187%;84,1607%;85,6249%;88,4195%;84,8916%;85,8227%;96,4769%;94,7522%;95,1198%;99,0357%;98,1139%;98,2234%;98,1207%;96,9300%;97,1791%
2022-02-01;89,3437%;84,1941%;85,6557%;88,4381%;84,9177%;85,8459%;96,4865%;94,7657%;95,1303%;99,0420%;98,1177%;98,2280%;98,1274%;96,9344%;97,1825%
2022-02-02;89,3668%;84,2413%;85,6973%;88,4578%;84,9512%;85,8754%;96,4970%;94,7797%;95,1420%;99,0494%;98,1242%;98,2334%;98,1308%;96,9420%;97,1885%
2022-02-03;89,3927%;84,2910%;85,7432%;88,4767%;84,9904%;85,9113%;96,5069%;94,7972%;95,1565%;99,0562%;98,1303%;98,2382%;98,1354%;96,9491%;97,1922%
2022-02-04;89,4136%;84,3369%;85,7844%;88,4945%;85,0216%;85,9390%;96,5156%;94,8106%;95,1687%;99,0609%;98,1349%;98,2417%;98,1409%;96,9544%;97,1973%
2022-02-05;89,4326%;84,3760%;85,8213%;88,5077%;85,0497%;85,9636%;96,5214%;94,8219%;95,1779%;99,0634%;98,1378%;98,2440%;98,1441%;96,9569%;97,1993%
2022-02-06;89,4457%;84,4019%;85,8455%;88,5159%;85,0671%;85,9793%;96,5248%;94,8277%;95,1835%;99,0666%;98,1405%;98,2459%;98,1455%;96,9585%;97,2009%
2022-02-07;89,4642%;84,4347%;85,8748%;88,5285%;85,0897%;86,0003%;96,5309%;94,8381%;95,1924%;99,0707%;98,1461%;98,2508%;98,1492%;96,9636%;97,2051%
2022-02-08;89,4814%;84,4707%;85,9084%;88,5407%;85,1145%;86,0226%;96,5372%;94,8494%;95,2014%;99,0744%;98,1512%;98,2555%;98,1529%;96,9700%;97,2104%
2022-02-09;89,4983%;84,5062%;85,9415%;88,5526%;85,1392%;86,0451%;96,5436%;94,8601%;95,2109%;99,0786%;98,1567%;98,2601%;98,1575%;96,9776%;97,2143%
2022-02-10;89,5152%;84,5499%;85,9821%;88,5634%;85,1681%;86,0715%;96,5501%;94,8727%;95,2225%;99,0816%;98,1621%;98,2652%;98,1602%;96,9872%;97,2191%
2022-02-11;89,5341%;84,5870%;86,0173%;88,5753%;85,1992%;86,1007%;96,5566%;94,8867%;95,2341%;99,0844%;98,1668%;98,2691%;98,1650%;96,9928%;97,2234%
2022-02-12;89,5476%;84,6181%;86,0471%;88,5847%;85,2256%;86,1250%;96,5607%;94,8961%;95,2431%;99,0856%;98,1703%;98,2727%;98,1657%;96,9953%;97,2262%
2022-02-13;89,5555%;84,6404%;86,0672%;88,5892%;85,2428%;86,1405%;96,5630%;94,9026%;95,2488%;99,0867%;98,1727%;98,2752%;98,1662%;96,9967%;97,2274%
2022-02-14;89,5635%;84,6649%;86,0899%;88,5948%;85,2587%;86,1551%;96,5666%;94,9098%;95,2553%;99,0885%;98,1754%;98,2779%;98,1683%;97,0010%;97,2310%
2022-02-15;89,5715%;84,6905%;86,1130%;88,6010%;85,2771%;86,1721%;96,5691%;94,9189%;95,2632%;99,0907%;98,1788%;98,2811%;98,1726%;97,0084%;97,2372%
2022-02-16;89,5816%;84,7126%;86,1328%;88,6061%;85,2926%;86,1868%;96,5725%;94,9273%;95,2706%;99,0925%;98,1838%;98,2858%;98,1758%;97,0137%;97,2427%
2022-02-17;89,5906%;84,7375%;86,1558%;88,6119%;85,3099%;86,2035%;96,5752%;94,9368%;95,2802%;99,0936%;98,1893%;98,2907%;98,1788%;97,0196%;97,2476%
2022-02-18;89,5977%;84,7566%;86,1728%;88,6158%;85,3257%;86,2177%;96,5770%;94,9438%;95,2865%;99,0950%;98,1922%;98,2939%;98,1811%;97,0238%;97,2517%
2022-02-19;89,6024%;84,7718%;86,1867%;88,6194%;85,3374%;86,2285%;96,5786%;94,9489%;95,2910%;99,0954%;98,1933%;98,2952%;98,1818%;97,0240%;97,2522%
2022-02-20;89,6068%;84,7838%;86,1979%;88,6218%;85,3454%;86,2358%;96,5798%;94,9539%;95,2957%;99,0963%;98,1945%;98,2965%;98,1818%;97,0261%;97,2542%
2022-02-21;89,6128%;84,7980%;86,2103%;88,6254%;85,3576%;86,2469%;96,5821%;94,9604%;95,3018%;99,0974%;98,1980%;98,2998%;98,1827%;97,0295%;97,2577%
2022-02-22;89,6183%;84,8092%;86,2209%;88,6292%;85,3667%;86,2554%;96,5844%;94,9655%;95,3068%;99,0992%;98,2019%;98,3035%;98,1834%;97,0348%;97,2625%
2022-02-23;89,6227%;84,8244%;86,2355%;88,6324%;85,3784%;86,2661%;96,5861%;94,9717%;95,3126%;99,1001%;98,2063%;98,3070%;98,1846%;97,0383%;97,2648%
2022-02-24;89,6313%;84,8460%;86,2557%;88,6396%;85,3933%;86,2810%;96,5879%;94,9824%;95,3226%;99,1014%;98,2112%;98,3118%;98,1873%;97,0435%;97,2689%
2022-02-25;89,6367%;84,8657%;86,2727%;88,6428%;85,4110%;86,2966%;96,5899%;94,9908%;95,3297%;99,1029%;98,2133%;98,3139%;98,1885%;97,0463%;97,2710%
2022-02-26;89,6409%;84,8805%;86,2872%;88,6467%;85,4221%;86,3071%;96,5922%;94,9968%;95,3356%;99,1039%;98,2170%;98,3180%;98,1894%;97,0500%;97,2742%
2022-02-27;89,6444%;84,8918%;86,2973%;88,6481%;85,4301%;86,3139%;96,5932%;95,0006%;95,3388%;99,1047%;98,2185%;98,3193%;98,1899%;97,0532%;97,2774%
2022-02-28;89,6488%;84,9064%;86,3112%;88,6515%;85,4418%;86,3243%;96,5946%;95,0075%;95,3453%;99,1051%;98,2216%;98,3222%;98,1906%;97,0564%;97,2807%
2022-03-01;89,6523%;84,9188%;86,3228%;88,6541%;85,4534%;86,3352%;96,5956%;95,0126%;95,3504%;99,1060%;98,2250%;98,3259%;98,1912%;97,0610%;97,2855%
2022-03-02;89,6569%;84,9321%;86,3348%;88,6568%;85,4648%;86,3462%;96,5967%;95,0194%;95,3569%;99,1066%;98,2291%;98,3297%;98,1942%;97,0651%;97,2894%
2022-03-03;89,6598%;84,9512%;86,3519%;88,6595%;85,4772%;86,3581%;96,5984%;95,0282%;95,3652%;99,1076%;98,2343%;98,3348%;98,1961%;97,0713%;97,2956%
2022-03-04;89,6646%;84,9673%;86,3676%;88,6629%;85,4914%;86,3706%;96,5999%;95,0365%;95,3732%;99,1081%;98,2379%;98,3386%;98,1968%;97,0750%;97,2993%
2022-03-05;89,6687%;84,9811%;86,3805%;88,6652%;85,5044%;86,3828%;96,6014%;95,0459%;95,3820%;99,1089%;98,2431%;98,3440%;98,1974%;97,0785%;97,3027%
2022-03-06;89,6706%;84,9891%;86,3870%;88,6667%;85,5120%;86,3901%;96,6018%;95,0501%;95,3860%;99,1093%;98,2453%;98,3461%;98,1977%;97,0798%;97,3041%
2022-03-07;89,6728%;84,9989%;86,3959%;88,6685%;85,5203%;86,3977%;96,6027%;95,0564%;95,3920%;99,1099%;98,2483%;98,3491%;98,1991%;97,0831%;97,3071%
2022-03-08;89,6758%;85,0110%;86,4066%;88,6711%;85,5292%;86,4061%;96,6033%;95,0629%;95,3984%;99,1100%;98,2522%;98,3525%;98,2004%;97,0867%;97,3108%
